Jahr,Altersgruppe,Bundesland,Einwohner
2000,0-65,Sachsen-Anhalt,40492
2000,0-65,Schleswig-Holstein,37556
2000,0-65,Thüringen,38925
2000,0-65,Baden-Württemberg,146900
2000,0-65,Bayern,168132
2000,0-65,Berlin,47963
2000,0-65,Brandenburg,43029
2000,0-65,Bremen,9185
2000,0-65,Hamburg,22051
2000,0-65,Hessen,85945
2000,0-65,Mecklenburg-Vorpommern,29946
2000,0-65,Niedersachsen,107998
2000,0-65,Nordrhein-Westfalen,254853
2000,0-65,Rheinland-Pfalz,58830
2000,0-65,Saarland,16075
2000,0-65,Sachsen,67351
2000,0-65,Sachsen-Anhalt,41613
2000,0-65,Schleswig-Holstein,36916
2000,0-65,Thüringen,39243
2000,0-65,Baden-Württemberg,142988
2000,0-65,Bayern,165701
2000,0-65,Berlin,47332
2000,0-65,Brandenburg,42315
2000,0-65,Bremen,8924
2000,0-65,Hamburg,21292
2000,0-65,Hessen,84512
2000,0-65,Mecklenburg-Vorpommern,29964
2000,0-65,Niedersachsen,106620
2000,0-65,Nordrhein-Westfalen,251721
2000,0-65,Rheinland-Pfalz,58416
2000,0-65,Saarland,16238
2000,0-65,Sachsen,67075
2000,0-65,Sachsen-Anhalt,41063
2000,0-65,Schleswig-Holstein,36889
2000,0-65,Thüringen,38745
2000,0-65,Baden-Württemberg,137922
2000,0-65,Bayern,159740
2000,0-65,Berlin,46741
2000,0-65,Brandenburg,41836
2000,0-65,Bremen,8625
2000,0-65,Hamburg,20518
2000,0-65,Hessen,82013
2000,0-65,Mecklenburg-Vorpommern,29244
2000,0-65,Niedersachsen,103221
